标题,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,关键词,数量,描述,second
"
          整租·雅居湖畔 1室1厅 西        ","
                郑州高新技术产业开发区-高新梧桐-雅居湖畔
        /
        49.00㎡
        /西        /
          1室1厅1卫        
          /
          高楼层                        （19层）
                  
      ",郑州高新技术产业开发区,高新梧桐,雅居湖畔,精装,,,"
            链家          ",1000 元/月,1000,,,,,,7天前维护,,"
          /
          高楼层                        （19层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·阳光城檀悦 3室2厅 南        ","
                郑州经济技术开发区-恒大绿洲-阳光城檀悦
        /
        106.00㎡
        /南        /
          3室2厅2卫        
          /
          高楼层                        （34层）
                  
      ",郑州经济技术开发区,恒大绿洲,阳光城檀悦,近地铁,集中供暖,双卫生间,"
            链家          ",1500 元/月,1500,,,,,,8天前维护,,"
          /
          高楼层                        （34层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·六合幸福门三期 4居室 北卧        ","
                  精选          /
                中原区-交警二大队-六合幸福门三期
        /
        18.00㎡
        /北        /
          4室0厅1卫        
          /
          中楼层                        （32层）
                  
      ",中原区,交警二大队,六合幸福门三期,公寓,月租,拎包入住,"
            吉嘉公寓          ",520 元/月,520,"
            广告          ",/,近地铁,精装,集中供暖,8天前维护,,"
          /
          中楼层                        （32层）
                  ",押一付一,随时看房,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·升龙城2号院 5居室 南卧        ","
                  精选          /
                二七区-市财政局-升龙城2号院
        /
        25.00㎡
        /南        /
          5室1厅2卫        
          /
          中楼层                        （34层）
                  
      ",二七区,市财政局,升龙城2号院,租住保障,公寓,近地铁,"
            郑州嘉禾公寓          ",900 元/月,900,"
            广告          ",/,精装,独立阳台,集中供暖,8天前维护,,"
          /
          中楼层                        （34层）
                  ",随时看房,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·红专路107号院 4室2厅 南/北        ","
                金水区-财富广场-红专路107号院
        /
        158.00㎡
        /南 北        /
          4室2厅2卫        
          /
          中楼层                        （7层）
                  
      ",金水区,财富广场,红专路107号院,精装,集中供暖,双卫生间,8天前维护,3500 元/月,3500,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·橡树玫瑰城东区 2室2厅 北        ","
                管城回族区-阳光城-橡树玫瑰城东区
        /
        75.00㎡
        /北        /
          2室2厅1卫        
          /
          高楼层                        （26层）
                  
      ",管城回族区,阳光城,橡树玫瑰城东区,精装,随时看房,,"
            链家          ",1500 元/月,1500,,,,,,1天前维护,,"
          /
          高楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·美景鸿城三期 5居室 南卧        ","
                  精选          /
                管城回族区-阳光城-美景鸿城三期
        /
        30.00㎡
        /南        /
          5室1厅1卫        
          /
          中楼层                        （33层）
                  
      ",管城回族区,阳光城,美景鸿城三期,公寓,拎包入住,近地铁,"
            菲客公寓          ",850 元/月,850,"
            广告          ",/,独立阳台,押一付一,随时看房,8天前维护,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·中亨花园3号院 1室1厅 南        ","
                二七区-火车站-中亨花园3号院
        /
        42.00㎡
        /南        /
          1室1厅1卫        
          /
          中楼层                        （7层）
                  
      ",二七区,火车站,中亨花园3号院,近地铁,随时看房,,15天前维护,1001 元/月,1001,,,,,,,,"
          /
          中楼层                        （7层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          合租·美景鸿城三期 5居室 南卧        ","
                  精选          /
                管城回族区-阳光城-美景鸿城三期
        /
        30.00㎡
        /南        /
          5室1厅1卫        
          /
          中楼层                        （33层）
                  
      ",管城回族区,阳光城,美景鸿城三期,公寓,拎包入住,近地铁,"
            菲客公寓          ",850 元/月,850,"
            广告          ",/,押一付一,随时看房,,8天前维护,,"
          /
          中楼层                        （33层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·万和公馆 1室0厅 东        ","
                郑州高新技术产业开发区-高新新郑大-万和公馆
        /
        32.00㎡
        /东        /
          1室0厅1卫        
          /
          中楼层                        （26层）
                  
      ",郑州高新技术产业开发区,高新新郑大,万和公馆,随时看房,,,4天前维护,1000 元/月,1000,,,,,,,,"
          /
          中楼层                        （26层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
"
          整租·卫生路43号院 2室1厅 南        ","
                金水区-大石桥-卫生路43号院
        /
        58.80㎡
        /南        /
          2室1厅1卫        
          /
          高楼层                        （6层）
                  
      ",金水区,大石桥,卫生路43号院,精装,随时看房,,2天前维护,1200 元/月,1200,,,,,,,,"
          /
          高楼层                        （6层）
                  ",,,,,下一页,https://zz.zu.ke.com/zufang/pg75/#contentList
